Date,Bag,Ballerinas,Belt,Bikini top,Blazer,Blouse,Bodysuit,Boots,Bra,Bracelet,Cap/peaked,Cardigan,Coat,Costumes,Dress,Dungarees,Earring,Earrings,Flat shoe,Flip flop,Garment Set,Gloves,Hair clip,Hair string,Hair ties,Hair/alice band,Hat/beanie,Hat/brim,Heeled sandals,Hoodie,Jacket,Jumpsuit/Playsuit,Kids Underwear top,Leggings/Tights,Necklace,Night gown,Nipple covers,Other accessories,Other shoe,Outdoor Waistcoat,Outdoor trousers,Polo shirt,Pumps,Pyjama bottom,Pyjama jumpsuit/playsuit,Pyjama set,Ring,Robe,Sandals,Sarong,Scarf,Shirt,Shorts,Skirt,Slippers,Sneakers,Socks,Sunglasses,Sweater,Swimsuit,Swimwear bottom,Swimwear set,T-shirt,Tailored Waistcoat,Tie,Top,Trousers,Umbrella,Underdress,Underwear Tights,Underwear body,Underwear bottom,Underwear set,Vest top,Wallet,Watch,Wedge
2018-09-30,265.0,55.0,184.0,333.0,457.0,1683.0,112.0,350.0,1136.0,10.0,85.0,747.0,331.0,2.0,2018.0,50.0,124.0,3.0,19.0,11.0,79.0,100.0,41.0,52.0,21.0,41.0,187.0,19.0,32.0,1194.0,946.0,122.0,40.0,1166.0,166.0,34.0,3.0,120.0,38.0,36.0,13.0,128.0,62.0,123.0,29.0,243.0,38.0,32.0,42.0,0.0,424.0,1237.0,338.0,874.0,46.0,221.0,704.0,64.0,7495.0,128.0,364.0,18.0,2612.0,8.0,6.0,1301.0,6146.0,7.0,2.0,517.0,65.0,1158.0,2.0,1086.0,1.0,11.0,12.0
2018-10-01,318.0,101.0,182.0,447.0,441.0,1595.0,161.0,492.0,1218.0,6.0,75.0,729.0,570.0,15.0,2021.0,57.0,120.0,1.0,19.0,28.0,133.0,110.0,33.0,56.0,21.0,65.0,265.0,34.0,24.0,1293.0,1158.0,135.0,45.0,1123.0,165.0,31.0,6.0,143.0,46.0,22.0,16.0,126.0,61.0,149.0,28.0,255.0,28.0,40.0,77.0,1.0,419.0,983.0,407.0,915.0,49.0,314.0,656.0,66.0,7013.0,209.0,449.0,11.0,2465.0,19.0,8.0,1508.0,6263.0,11.0,4.0,498.0,63.0,926.0,2.0,1014.0,5.0,13.0,16.0
2018-10-02,301.0,52.0,190.0,435.0,530.0,1704.0,141.0,536.0,1150.0,6.0,67.0,682.0,421.0,16.0,2113.0,48.0,133.0,2.0,25.0,25.0,108.0,131.0,37.0,47.0,9.0,51.0,221.0,32.0,35.0,1273.0,1136.0,156.0,35.0,1268.0,164.0,34.0,1.0,117.0,37.0,27.0,13.0,122.0,46.0,118.0,26.0,246.0,38.0,42.0,88.0,0.0,421.0,1110.0,387.0,1059.0,62.0,230.0,632.0,40.0,7609.0,197.0,461.0,11.0,2497.0,13.0,2.0,1397.0,6802.0,10.0,6.0,501.0,123.0,957.0,4.0,1076.0,4.0,10.0,13.0
2018-10-03,266.0,38.0,145.0,321.0,525.0,1703.0,136.0,461.0,1119.0,14.0,68.0,727.0,305.0,13.0,1926.0,36.0,149.0,0.0,16.0,25.0,108.0,81.0,43.0,42.0,18.0,70.0,216.0,28.0,23.0,1352.0,1043.0,117.0,41.0,1332.0,150.0,46.0,2.0,101.0,27.0,64.0,9.0,120.0,49.0,131.0,24.0,273.0,41.0,22.0,67.0,0.0,433.0,1078.0,346.0,875.0,53.0,205.0,705.0,64.0,7551.0,154.0,362.0,6.0,2401.0,12.0,6.0,1281.0,6525.0,6.0,0.0,472.0,71.0,1040.0,0.0,1001.0,5.0,11.0,13.0
2018-10-04,268.0,45.0,172.0,281.0,607.0,1944.0,144.0,427.0,1199.0,6.0,56.0,775.0,389.0,15.0,1930.0,22.0,177.0,0.0,20.0,26.0,117.0,88.0,42.0,67.0,33.0,49.0,177.0,17.0,20.0,1019.0,1004.0,110.0,32.0,1193.0,168.0,34.0,2.0,112.0,35.0,63.0,12.0,111.0,62.0,124.0,15.0,209.0,49.0,32.0,58.0,0.0,368.0,1175.0,336.0,881.0,46.0,221.0,722.0,49.0,7412.0,103.0,249.0,8.0,2412.0,5.0,9.0,1403.0,6219.0,10.0,3.0,611.0,73.0,1156.0,0.0,964.0,5.0,12.0,17.0
2018-10-05,253.0,49.0,170.0,267.0,590.0,1774.0,74.0,344.0,1167.0,8.0,62.0,641.0,331.0,19.0,1705.0,54.0,189.0,2.0,16.0,10.0,71.0,70.0,56.0,50.0,31.0,78.0,154.0,20.0,26.0,896.0,807.0,92.0,38.0,1104.0,186.0,40.0,4.0,88.0,29.0,60.0,5.0,99.0,34.0,105.0,30.0,182.0,27.0,29.0,34.0,1.0,326.0,1123.0,274.0,699.0,16.0,174.0,719.0,33.0,6124.0,88.0,265.0,3.0,2320.0,14.0,7.0,1204.0,5144.0,5.0,1.0,591.0,58.0,1101.0,1.0,915.0,1.0,11.0,15.0
2018-10-06,263.0,53.0,205.0,276.0,565.0,1736.0,97.0,348.0,1179.0,10.0,70.0,703.0,330.0,9.0,1662.0,35.0,189.0,0.0,20.0,19.0,68.0,115.0,57.0,65.0,36.0,72.0,206.0,11.0,16.0,1185.0,930.0,108.0,40.0,1139.0,169.0,38.0,2.0,121.0,26.0,42.0,5.0,140.0,37.0,124.0,16.0,196.0,52.0,35.0,45.0,0.0,410.0,1312.0,261.0,763.0,23.0,155.0,918.0,54.0,7345.0,93.0,265.0,18.0,2562.0,19.0,4.0,1232.0,5750.0,10.0,1.0,645.0,56.0,1190.0,1.0,966.0,3.0,11.0,9.0
2018-10-07,243.0,68.0,163.0,288.0,448.0,1411.0,121.0,361.0,997.0,4.0,53.0,635.0,318.0,22.0,1620.0,31.0,134.0,1.0,15.0,13.0,65.0,96.0,29.0,56.0,20.0,51.0,147.0,15.0,17.0,998.0,882.0,122.0,49.0,964.0,118.0,28.0,6.0,120.0,24.0,42.0,2.0,190.0,47.0,92.0,18.0,213.0,35.0,21.0,35.0,0.0,306.0,982.0,298.0,738.0,26.0,188.0,617.0,53.0,5977.0,151.0,300.0,15.0,2321.0,7.0,7.0,1172.0,5521.0,8.0,1.0,446.0,63.0,928.0,4.0,966.0,5.0,13.0,8.0
2018-10-08,260.0,36.0,138.0,377.0,355.0,1336.0,134.0,300.0,971.0,10.0,60.0,541.0,222.0,14.0,1344.0,21.0,136.0,3.0,20.0,30.0,83.0,86.0,19.0,40.0,15.0,57.0,152.0,10.0,28.0,672.0,846.0,104.0,17.0,828.0,118.0,41.0,3.0,112.0,35.0,18.0,8.0,177.0,32.0,54.0,17.0,201.0,36.0,23.0,52.0,0.0,289.0,808.0,347.0,689.0,28.0,144.0,471.0,46.0,4889.0,181.0,387.0,12.0,1799.0,25.0,8.0,980.0,4797.0,10.0,2.0,368.0,87.0,781.0,0.0,820.0,4.0,9.0,9.0
2018-10-09,297.0,47.0,168.0,513.0,523.0,1913.0,129.0,475.0,1365.0,9.0,74.0,743.0,330.0,13.0,2254.0,25.0,183.0,2.0,36.0,20.0,84.0,93.0,47.0,48.0,14.0,63.0,167.0,20.0,42.0,839.0,1090.0,136.0,45.0,1233.0,165.0,47.0,3.0,108.0,42.0,14.0,8.0,159.0,57.0,112.0,24.0,326.0,47.0,47.0,56.0,0.0,301.0,1128.0,451.0,1167.0,29.0,218.0,521.0,74.0,6651.0,220.0,506.0,10.0,2421.0,8.0,11.0,1455.0,6546.0,5.0,9.0,368.0,101.0,1022.0,0.0,1006.0,4.0,11.0,10.0
2018-10-10,494.0,113.0,300.0,596.0,1049.0,3178.0,206.0,818.0,2079.0,20.0,144.0,1268.0,715.0,17.0,4206.0,52.0,311.0,1.0,58.0,46.0,124.0,159.0,72.0,100.0,16.0,170.0,291.0,33.0,42.0,1307.0,2086.0,198.0,37.0,1902.0,244.0,79.0,6.0,179.0,62.0,46.0,25.0,261.0,103.0,185.0,29.0,439.0,61.0,63.0,124.0,0.0,528.0,1813.0,590.0,2044.0,58.0,328.0,962.0,108.0,11416.0,315.0,661.0,25.0,3759.0,20.0,9.0,2451.0,10311.0,14.0,11.0,607.0,164.0,1629.0,6.0,1646.0,7.0,11.0,28.0
2018-10-11,410.0,79.0,355.0,509.0,985.0,3074.0,194.0,671.0,2006.0,20.0,134.0,1086.0,596.0,17.0,3787.0,53.0,341.0,10.0,44.0,25.0,113.0,108.0,59.0,97.0,38.0,82.0,238.0,40.0,51.0,1227.0,1732.0,169.0,30.0,1776.0,262.0,74.0,3.0,216.0,58.0,36.0,19.0,243.0,86.0,166.0,51.0,340.0,68.0,72.0,67.0,0.0,476.0,1661.0,569.0,1819.0,39.0,267.0,925.0,85.0,10360.0,212.0,517.0,13.0,3609.0,33.0,9.0,2476.0,9384.0,13.0,11.0,654.0,166.0,1877.0,4.0,1552.0,6.0,17.0,20.0
2018-10-12,463.0,68.0,371.0,395.0,951.0,2938.0,184.0,587.0,1861.0,15.0,90.0,989.0,572.0,16.0,3275.0,44.0,304.0,7.0,60.0,16.0,94.0,98.0,93.0,115.0,53.0,96.0,231.0,20.0,36.0,1080.0,1360.0,223.0,31.0,1607.0,294.0,71.0,9.0,171.0,34.0,42.0,21.0,228.0,84.0,143.0,20.0,284.0,59.0,77.0,73.0,2.0,416.0,1673.0,454.0,1607.0,42.0,212.0,995.0,91.0,9119.0,276.0,438.0,7.0,3434.0,16.0,21.0,2149.0,8435.0,9.0,8.0,658.0,152.0,1762.0,0.0,1458.0,5.0,18.0,17.0
2018-10-13,378.0,59.0,335.0,371.0,860.0,2971.0,178.0,438.0,1916.0,7.0,123.0,1011.0,463.0,17.0,2840.0,35.0,294.0,14.0,29.0,24.0,92.0,95.0,74.0,111.0,53.0,134.0,255.0,66.0,28.0,1306.0,1262.0,120.0,49.0,1638.0,266.0,46.0,0.0,196.0,48.0,39.0,8.0,206.0,66.0,165.0,20.0,233.0,54.0,62.0,60.0,0.0,461.0,1744.0,457.0,1415.0,32.0,182.0,1216.0,64.0,8849.0,209.0,373.0,11.0,3818.0,9.0,19.0,2093.0,8576.0,7.0,11.0,699.0,126.0,1865.0,2.0,1502.0,2.0,11.0,19.0
2018-10-14,271.0,19.0,235.0,238.0,567.0,2106.0,103.0,371.0,1294.0,14.0,48.0,652.0,375.0,10.0,1907.0,34.0,158.0,2.0,28.0,26.0,69.0,85.0,51.0,64.0,29.0,74.0,178.0,28.0,13.0,800.0,944.0,136.0,30.0,1066.0,167.0,29.0,0.0,125.0,32.0,19.0,25.0,157.0,46.0,75.0,24.0,157.0,46.0,45.0,53.0,0.0,273.0,1092.0,330.0,1140.0,43.0,157.0,626.0,48.0,6025.0,146.0,287.0,32.0,2987.0,8.0,5.0,1361.0,6029.0,5.0,8.0,366.0,90.0,1129.0,2.0,1128.0,3.0,10.0,13.0
2018-10-15,279.0,34.0,216.0,448.0,397.0,1976.0,145.0,369.0,1323.0,14.0,55.0,556.0,273.0,12.0,2246.0,38.0,169.0,3.0,24.0,25.0,75.0,59.0,29.0,50.0,13.0,64.0,106.0,23.0,33.0,645.0,740.0,122.0,25.0,887.0,130.0,41.0,2.0,135.0,39.0,10.0,19.0,177.0,55.0,120.0,19.0,179.0,34.0,40.0,48.0,0.0,189.0,913.0,456.0,1016.0,41.0,160.0,460.0,87.0,4945.0,199.0,560.0,20.0,2374.0,6.0,30.0,1420.0,5481.0,4.0,7.0,263.0,130.0,1133.0,0.0,1102.0,3.0,7.0,12.0
2018-10-16,487.0,57.0,300.0,400.0,710.0,2840.0,206.0,473.0,1662.0,13.0,71.0,834.0,474.0,25.0,2938.0,28.0,266.0,3.0,26.0,20.0,99.0,88.0,45.0,52.0,36.0,116.0,161.0,31.0,72.0,1012.0,1307.0,214.0,28.0,1334.0,199.0,64.0,4.0,191.0,26.0,39.0,12.0,236.0,101.0,118.0,19.0,245.0,55.0,60.0,91.0,0.0,323.0,1344.0,577.0,1439.0,30.0,239.0,727.0,120.0,8009.0,207.0,409.0,16.0,3325.0,22.0,6.0,2141.0,8118.0,5.0,4.0,417.0,132.0,1430.0,2.0,1413.0,4.0,20.0,22.0
2018-10-17,771.0,92.0,264.0,630.0,739.0,4049.0,192.0,387.0,1696.0,9.0,89.0,1123.0,438.0,22.0,3715.0,53.0,227.0,4.0,36.0,54.0,119.0,110.0,32.0,51.0,21.0,98.0,169.0,48.0,193.0,1425.0,1793.0,250.0,45.0,1429.0,187.0,39.0,6.0,199.0,52.0,34.0,16.0,216.0,128.0,126.0,37.0,258.0,53.0,60.0,193.0,0.0,333.0,1650.0,789.0,1520.0,39.0,313.0,716.0,183.0,9022.0,302.0,658.0,24.0,4119.0,20.0,7.0,3205.0,10402.0,1.0,10.0,435.0,151.0,1453.0,2.0,1738.0,7.0,6.0,45.0
2018-10-18,481.0,68.0,176.0,326.0,591.0,2778.0,191.0,378.0,1452.0,10.0,102.0,832.0,339.0,23.0,3231.0,31.0,215.0,6.0,34.0,39.0,100.0,75.0,45.0,40.0,30.0,104.0,182.0,40.0,82.0,1112.0,1227.0,167.0,20.0,1111.0,179.0,63.0,0.0,184.0,39.0,21.0,13.0,115.0,71.0,100.0,33.0,216.0,47.0,56.0,112.0,0.0,316.0,1274.0,475.0,1133.0,30.0,307.0,604.0,131.0,7851.0,189.0,355.0,21.0,3219.0,11.0,5.0,2571.0,7914.0,5.0,6.0,466.0,131.0,1355.0,0.0,1177.0,3.0,9.0,43.0
2018-10-19,325.0,55.0,158.0,300.0,631.0,2147.0,157.0,284.0,1179.0,9.0,61.0,846.0,261.0,15.0,2493.0,26.0,210.0,7.0,19.0,31.0,87.0,62.0,35.0,53.0,27.0,95.0,164.0,32.0,78.0,995.0,1056.0,116.0,21.0,1108.0,166.0,51.0,3.0,163.0,17.0,35.0,14.0,109.0,59.0,93.0,27.0,198.0,41.0,48.0,93.0,0.0,345.0,1009.0,369.0,972.0,30.0,201.0,602.0,104.0,6866.0,124.0,320.0,7.0,2523.0,14.0,26.0,1935.0,6425.0,5.0,8.0,507.0,111.0,1065.0,5.0,1063.0,2.0,8.0,42.0
2018-10-20,318.0,52.0,191.0,256.0,677.0,2257.0,138.0,285.0,1189.0,9.0,59.0,868.0,294.0,12.0,2431.0,29.0,216.0,5.0,13.0,14.0,92.0,63.0,40.0,63.0,24.0,72.0,201.0,26.0,62.0,1039.0,1123.0,118.0,48.0,1066.0,168.0,51.0,1.0,171.0,30.0,19.0,10.0,125.0,51.0,93.0,21.0,215.0,26.0,64.0,91.0,0.0,441.0,1302.0,429.0,941.0,36.0,211.0,872.0,69.0,7236.0,170.0,319.0,15.0,2689.0,9.0,4.0,1753.0,6433.0,8.0,2.0,575.0,98.0,1188.0,2.0,1084.0,1.0,8.0,38.0
2018-10-21,293.0,62.0,133.0,390.0,557.0,1921.0,116.0,272.0,1063.0,5.0,57.0,791.0,260.0,23.0,2149.0,23.0,189.0,2.0,7.0,42.0,74.0,85.0,15.0,45.0,19.0,76.0,162.0,20.0,81.0,964.0,1182.0,132.0,42.0,955.0,118.0,59.0,3.0,158.0,24.0,18.0,14.0,77.0,68.0,135.0,20.0,258.0,46.0,75.0,70.0,0.0,278.0,970.0,470.0,881.0,27.0,189.0,626.0,78.0,6476.0,203.0,381.0,14.0,2611.0,7.0,3.0,1789.0,6257.0,1.0,2.0,393.0,121.0,1108.0,6.0,1072.0,2.0,9.0,32.0
2018-10-22,361.0,62.0,166.0,434.0,650.0,2227.0,193.0,384.0,1399.0,9.0,61.0,771.0,339.0,24.0,2727.0,48.0,211.0,5.0,23.0,37.0,109.0,107.0,32.0,50.0,18.0,105.0,158.0,31.0,60.0,1100.0,1311.0,128.0,15.0,1142.0,138.0,79.0,3.0,202.0,29.0,18.0,14.0,131.0,58.0,157.0,40.0,338.0,43.0,88.0,85.0,0.0,364.0,1124.0,561.0,1248.0,64.0,255.0,650.0,83.0,7924.0,205.0,459.0,7.0,2730.0,11.0,6.0,1893.0,7001.0,4.0,8.0,377.0,134.0,1178.0,0.0,1209.0,2.0,11.0,34.0
2018-10-23,431.0,56.0,196.0,440.0,761.0,2567.0,193.0,467.0,1526.0,13.0,88.0,972.0,473.0,18.0,2895.0,56.0,255.0,12.0,33.0,42.0,94.0,128.0,31.0,50.0,29.0,88.0,274.0,36.0,73.0,1170.0,1649.0,161.0,33.0,1346.0,154.0,76.0,1.0,196.0,36.0,39.0,16.0,173.0,54.0,127.0,35.0,418.0,59.0,115.0,150.0,0.0,477.0,1342.0,550.0,1281.0,54.0,240.0,665.0,112.0,9384.0,180.0,403.0,21.0,2940.0,14.0,13.0,2128.0,8084.0,2.0,6.0,502.0,148.0,1399.0,0.0,1333.0,3.0,12.0,28.0
2018-10-24,520.0,87.0,277.0,534.0,1093.0,3650.0,195.0,574.0,1866.0,16.0,126.0,1162.0,531.0,27.0,4090.0,67.0,324.0,7.0,35.0,48.0,133.0,146.0,40.0,83.0,40.0,118.0,298.0,48.0,95.0,1533.0,2145.0,157.0,35.0,1752.0,233.0,101.0,5.0,218.0,33.0,56.0,28.0,201.0,83.0,165.0,61.0,466.0,79.0,108.0,196.0,0.0,577.0,1741.0,711.0,1438.0,66.0,349.0,898.0,160.0,11716.0,238.0,531.0,12.0,3874.0,12.0,7.0,2753.0,10795.0,12.0,2.0,695.0,208.0,1800.0,4.0,1845.0,4.0,20.0,43.0
2018-10-25,414.0,78.0,219.0,400.0,927.0,2912.0,144.0,500.0,1711.0,17.0,92.0,937.0,462.0,23.0,3094.0,41.0,292.0,7.0,30.0,23.0,99.0,119.0,47.0,64.0,38.0,124.0,360.0,46.0,77.0,1455.0,1833.0,166.0,25.0,1516.0,249.0,88.0,2.0,251.0,44.0,35.0,8.0,110.0,64.0,139.0,21.0,385.0,71.0,99.0,158.0,1.0,528.0,1528.0,508.0,1239.0,49.0,250.0,936.0,122.0,10083.0,147.0,408.0,26.0,3313.0,15.0,8.0,2420.0,8452.0,7.0,6.0,788.0,175.0,1597.0,2.0,1674.0,7.0,12.0,30.0
2018-10-26,368.0,63.0,264.0,375.0,850.0,2913.0,213.0,553.0,1699.0,13.0,109.0,989.0,502.0,18.0,3442.0,57.0,305.0,11.0,30.0,35.0,83.0,168.0,61.0,86.0,53.0,164.0,308.0,51.0,91.0,1346.0,1847.0,170.0,39.0,1497.0,230.0,73.0,2.0,255.0,35.0,38.0,18.0,130.0,60.0,179.0,21.0,441.0,54.0,96.0,150.0,3.0,657.0,1568.0,504.0,1241.0,40.0,244.0,956.0,105.0,10219.0,166.0,412.0,23.0,3357.0,17.0,7.0,2338.0,8409.0,20.0,3.0,805.0,179.0,1741.0,3.0,1637.0,4.0,17.0,26.0
2018-10-27,310.0,61.0,222.0,344.0,898.0,2688.0,178.0,454.0,1484.0,11.0,87.0,965.0,455.0,17.0,2983.0,43.0,285.0,10.0,19.0,31.0,116.0,222.0,69.0,64.0,45.0,154.0,381.0,48.0,45.0,1175.0,1551.0,147.0,26.0,1466.0,198.0,88.0,4.0,235.0,41.0,42.0,14.0,122.0,47.0,194.0,41.0,428.0,62.0,62.0,118.0,0.0,631.0,1494.0,406.0,1093.0,60.0,214.0,1074.0,73.0,9318.0,138.0,358.0,17.0,2941.0,18.0,13.0,2065.0,7673.0,17.0,4.0,889.0,179.0,1609.0,1.0,1457.0,8.0,13.0,31.0
2018-10-28,405.0,85.0,189.0,471.0,787.0,2880.0,174.0,574.0,1617.0,13.0,97.0,1104.0,473.0,13.0,3172.0,58.0,289.0,8.0,16.0,53.0,106.0,406.0,47.0,52.0,23.0,105.0,567.0,43.0,74.0,1483.0,2086.0,190.0,38.0,1534.0,165.0,80.0,3.0,270.0,38.0,34.0,27.0,140.0,50.0,207.0,39.0,560.0,74.0,85.0,168.0,1.0,743.0,1548.0,628.0,1164.0,75.0,291.0,974.0,89.0,10148.0,175.0,518.0,13.0,3028.0,35.0,5.0,2306.0,8616.0,8.0,7.0,817.0,184.0,1812.0,1.0,1774.0,8.0,15.0,24.0
